,年,月,日,平均気温,最高気温,最低気温,日照時間
0,2002,1,1,5.2,9.7,1.0,2.0
1,2002,1,2,2.2,5.6,-2.8,3.4
2,2002,1,3,1.3,6.3,-2.8,5.9
3,2002,1,4,4.6,7.9,1.4,0.2
4,2002,1,5,5.7,9.3,1.4,6.2
5,2002,1,6,3.4,6.8,1.1,3.8
6,2002,1,7,4.9,9.0,0.0,1.6
7,2002,1,8,4.4,7.9,1.0,5.0
8,2002,1,9,4.6,9.0,0.6,4.4
9,2002,1,10,5.6,10.2,0.0,4.3
10,2002,1,11,8.2,14.2,3.7,4.5
11,2002,1,12,7.8,15.1,1.4,8.9
12,2002,1,13,8.9,15.5,4.5,3.5
13,2002,1,14,8.8,14.0,3.7,7.2
14,2002,1,15,10.4,11.9,9.4,
15,2002,1,16,11.8,14.8,9.6,
16,2002,1,17,7.9,10.9,4.7,2.7
17,2002,1,18,5.2,7.3,3.8,
18,2002,1,19,5.4,10.1,1.6,7.1
19,2002,1,20,7.2,12.0,-0.1,5.0
20,2002,1,21,10.1,11.9,7.1,
21,2002,1,22,5.2,8.8,1.8,6.5
22,2002,1,23,3.7,7.9,0.1,7.7
23,2002,1,24,3.7,9.4,-1.3,6.8
24,2002,1,25,4.2,7.8,0.5,1.5
25,2002,1,26,4.7,8.3,0.5,
26,2002,1,27,6.9,10.2,3.6,3.0
27,2002,1,28,5.5,9.3,2.8,1.6
28,2002,1,29,3.3,7.4,0.5,2.5
29,2002,1,30,3.8,8.9,-0.9,5.4
30,2002,1,31,3.4,7.6,0.7,6.9
0,2002,2,1,3.3,9.5,-2.0,8.9
1,2002,2,2,4.2,8.7,0.2,
2,2002,2,3,6.3,10.0,3.1,0.8
3,2002,2,4,7.2,12.2,3.9,4.1
4,2002,2,5,7.1,12.5,2.8,
5,2002,2,6,7.1,13.2,3.2,4.6
6,2002,2,7,6.9,13.7,2.5,4.1
7,2002,2,8,6.5,11.7,0.6,5.8
8,2002,2,9,5.3,9.6,1.9,3.2
9,2002,2,10,3.0,7.6,1.7,1.3
